New Mexico Tech Lightning Mapping Array -- analyzed data
Exported on: Mon May  4 13:35:20 2020
Original data file: /Users/sharm261/Desktop/mount/OKLMA_data_2013_cases/20130519/LYLOUT_130519_212000_0600.dat.gz
Analysis started: Thu Aug 29 03:15:48 2013
Analysis finished: Thu Aug 29 06:41:36 2013
Data start time: 05/19/13 21:20:00
Number of seconds analyzed: 600
Location: OK LMA 2002/2005
Data:time (UT sec of day), lat, lon, alt(m), reduced chi^2, # of stations contributed, P(dBW), charge, mask
Number of events:       39389
Flash stats: not saved
*** data ***
 76801.800539569   35.838276  -97.296867   7703.1   0.50  7  1.5500e+01  3   78d
 76801.801060094   35.806683  -97.277267   6339.6   0.56  7  1.2400e+01  3   78d
 76801.801343933   35.803715  -97.277420   7449.3   0.75  7  1.5600e+01  3   78d
 76801.802105099   35.877438  -97.271729   7101.0   0.38  7  1.5600e+01  3   78d
 76801.803748867   35.835148  -97.414818   7271.3   0.30  7  1.2600e+01  3   78d
 76801.805076618   35.851387  -97.307755  10893.8   0.27  7  1.1500e+01 -3  158d
 76801.806245106   35.689175  -97.203247   9265.3   0.85 10  1.6900e+01  0 13f8c
 76801.807727313   35.847485  -97.274231   7711.2   0.52  7  1.3000e+01  3   78d
 76801.810947348   35.848911  -97.314850   8621.2   0.16  7  1.4600e+01  0   78d
 76801.817344483   35.824127  -97.418335   6648.9   0.46  8  1.6200e+01  0  178d
 76801.822392026   35.829487  -97.416306   6351.8   0.45  7  1.3000e+01  0   78d
 76801.828443819   35.821484  -97.414703   7359.0   0.50  7  1.6000e+01  3   78d
 76801.844890587   35.863281  -97.364449  11119.3   0.48  9  2.0400e+01 -3 13785
 76801.851224023   35.767281  -97.303398  10189.1   0.62  8  1.8300e+01 -3 10f89
 76801.853454946   35.714138  -97.131851   8107.7   0.25  7  1.4200e+01  0   78d
 76801.855413991   35.864216  -97.364273  11054.3   0.32 10  1.4100e+01 -3 11f8d
 76801.877405639   35.760677  -97.312126   7909.3   0.72  8  1.7300e+01  0  2d8d
 76801.888836122   35.753376  -97.309715   7041.9   0.99  7  1.2200e+01  0   78d
 76801.897150068   35.746090  -97.314552   7631.5   0.15  7  1.5700e+01  0   78d
 76801.952799832   35.842445  -97.352341   7534.3   0.30  7  1.9100e+01  3  168d
 76801.954782066   35.720299  -97.084816   9245.9   0.33  8  1.5600e+01  3  178d
 76801.970208719   35.727493  -97.072876   9091.0   0.22  8  1.4200e+01  3  1d8d
 76801.973184986   35.725643  -97.072754   9001.5   0.32  7  1.5300e+01  3   78d
 76801.980995302   35.717026  -97.077019   8463.3   1.00  7  1.5600e+01  3   e8d
 76801.990123063   35.717991  -97.064766   9035.8   0.73  7  1.6800e+01  3  1785
 76801.992098011   35.715664  -97.068001   8987.1   0.31  8  1.5700e+01  3  178d
 76802.006621814   35.711788  -97.062790   8752.9   0.41 10  1.7800e+01  3  3f8d
 76802.007794077   35.824795  -97.320641   7427.1   0.39  7  1.4300e+01  3   78d
 76802.011373517   35.713017  -97.055756   8460.6   0.28  7  1.4900e+01  3  4785
 76802.015314229   35.707829  -97.057121   8864.1   0.19  8  1.6700e+01  3  178d
 76802.043185113   35.699482  -97.047173   9082.2   0.33  7  1.7100e+01  3   78d
 76802.049375218   35.696495  -97.044075   8070.7   0.17  8  1.8300e+01  3  178d
 76802.050558036   35.694435  -97.045326   8308.0   0.40  7  1.7900e+01  3   78d
 76802.050788619   35.696678  -97.043526   8080.7   0.28  8  1.6900e+01  3  178d
 76802.066168638   35.690395  -97.038292   8172.5   0.65  7  1.7600e+01  3   78d
 76802.076299222   35.683838  -97.039848   7352.2   0.95  7  1.9500e+01  3  1789
 76802.394307474   35.761585  -97.454002   9683.5   0.33  8  1.3500e+01  0  178d
 76802.412351918   35.769970  -97.453682   9187.1   0.11  7  1.0200e+01  0 13c09
 76802.525466386   35.615177  -97.507339   7482.8   0.20 10  1.6400e+01  0 13d8d
 76802.545616650   35.619663  -97.494057   7943.9   0.34  8  1.3800e+01  0 13f04
 76802.560267695   35.609421  -97.506630   7652.3   0.32  8  1.5500e+01  0  178d
 76802.583397867   35.757931  -97.454895   9470.2   0.06  8  1.8300e+01  0 17c0c
 76802.592889872   35.606499  -97.493576   6978.6   0.59  7  1.4200e+01  0 1350c
 76802.662969137   35.609844  -97.510391   7903.0   0.61 11  1.6700e+01  0 13f8d
 76802.663289357   35.609894  -97.510414   8121.6   0.57  7  1.7500e+01  0   78d
 76802.663383555   35.622517  -97.499512   9622.0   0.09  9  9.2000e+00  0 13f0c
 76802.663782194   35.616566  -97.498100   9291.9   0.26  7  1.4400e+01  0 10f0c
 76802.675637073   35.616600  -97.510376   7962.4   0.20  7  1.2400e+01  0  1785
 76802.676980236   35.616787  -97.512268   8097.1   0.60  8  1.7100e+01  0  1f89
 76802.677036566   35.614822  -97.500755   8649.8   0.77 10  2.1700e+01  0 13d8d
 76802.677237053   35.615574  -97.505394   9429.7   0.32  7  1.3900e+01  0  1d85
 76802.680494082   35.767639  -97.464157   9405.6   0.14  8  1.1900e+01  0  1d8d
 76802.682842748   35.621639  -97.503334   7894.4   0.29  7  1.3500e+01  0   78d
 76802.684928542   35.625103  -97.513054   8178.6   0.31  7  1.4600e+01  0   78d
 76802.686195679   35.790680  -97.486748  10010.3   0.07  7  1.2100e+01  0 13d04
 76802.687034280   35.770332  -97.490051  10149.7   0.24  7  7.1000e+00  0 1058d
 76802.687124536   35.769711  -97.489777  10069.1   0.45  7  1.3900e+01  0   78d
 76802.689224574   35.625977  -97.511681   7939.9   0.44  8  1.5000e+01  0  178d
